Id;FirstName;LastName;Nationality
1;Adam;Mickiewicz;Polish
2;Julisz;Słowacki;Polish
3;Andrzej;Sapkowski;Polish
4;Cyprian Kamil;Norwid;Polish
5;Stefan;Żeromski;Polish
6;Czesław;Miłosz;Polish
